date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2022-01-04,sh.601360,12.7100,12.9200,12.7000,12.8300,12.7200,78142112,1002267553.0600,3,1.093600,1,0.864800,41.493621,2.573173,7.526764,34.343377,0
2022-01-05,sh.601360,12.8000,12.9400,12.7300,12.8400,12.8300,63609745,815693195.7100,3,0.890200,1,0.077900,41.525962,2.575178,7.532631,34.370145,0
2022-01-06,sh.601360,12.8200,12.8800,12.5500,12.7800,12.8400,74764718,951875083.4400,3,1.046300,1,-0.467300,41.331915,2.563145,7.497432,34.209537,0
2022-01-07,sh.601360,12.7500,13.0800,12.6900,12.7000,12.7800,69301973,892108143.7500,3,0.969900,1,-0.626000,41.073187,2.547100,7.450499,33.995393,0
2022-01-10,sh.601360,12.6800,12.7500,12.4900,12.6500,12.7000,52770870,667066574.5900,3,0.738500,1,-0.393700,40.911481,2.537072,7.421167,33.861553,0
2022-01-11,sh.601360,12.6000,12.7000,12.3900,12.4400,12.6500,58275647,729184607.7200,3,0.815600,1,-1.660100,40.232318,2.494955,7.297969,33.299424,0
2022-01-12,sh.601360,12.4400,12.5300,12.4000,12.5300,12.4400,42567900,530894517.7100,3,0.595700,1,0.723500,40.523388,2.513005,7.350768,33.540337,0
2022-01-13,sh.601360,12.5200,12.5500,12.3200,12.3300,12.5300,50444189,626978988.2400,3,0.706000,1,-1.596200,39.876566,2.472893,7.233437,33.004976,0
2022-01-14,sh.601360,12.2800,12.3700,12.2300,12.2900,12.3300,34638880,426123711.0400,3,0.484800,1,-0.324400,39.747202,2.464871,7.209971,32.897904,0
2022-01-17,sh.601360,12.3500,12.5900,12.3400,12.5400,12.2900,63339241,792643130.1000,3,0.886400,1,2.034200,40.555729,2.515011,7.356635,33.567105,0
2022-01-18,sh.601360,12.5600,12.8100,12.4800,12.5500,12.5400,97933783,1238131201.5200,3,1.370600,1,0.079700,40.588070,2.517016,7.362501,33.593873,0
2022-01-19,sh.601360,12.5600,12.7300,12.5100,12.6200,12.5500,61603571,777296488.5800,3,0.862100,1,0.557800,40.814458,2.531055,7.403567,33.781249,0
2022-01-20,sh.601360,12.6400,12.6700,12.4400,12.5700,12.6200,48328870,606132002.3800,3,0.676400,1,-0.396200,40.652752,2.521027,7.374234,33.647409,0
2022-01-21,sh.601360,12.5000,12.5500,12.2500,12.2900,12.5700,49418953,611195500.2100,3,0.691600,1,-2.227500,39.747202,2.464871,7.209971,32.897904,0
2022-01-24,sh.601360,12.2500,12.3600,12.0100,12.0500,12.2900,56524979,687683792.3100,3,0.791100,1,-1.952800,38.971016,2.416737,7.069175,32.255471,0
2022-01-25,sh.601360,12.0300,12.1100,11.4700,11.4900,12.0500,85633986,1007698771.9700,3,1.198500,1,-4.647300,37.159914,2.304424,6.740649,30.756462,0
2022-01-26,sh.601360,11.4900,11.5600,10.7000,10.9400,11.4900,114670001,1268183768.1800,3,1.604800,1,-4.786800,35.381154,2.194116,6.417989,29.284221,0
2022-01-27,sh.601360,10.9100,10.9400,10.4300,10.4500,10.9400,69705247,742351476.1700,3,0.975500,1,-4.479000,33.796441,2.095842,6.130529,27.972587,0
2022-01-28,sh.601360,10.5300,10.5800,10.3300,10.4400,10.4500,46790377,490115504.1200,3,0.654800,1,-0.095700,33.764100,2.093837,6.124662,27.945819,0
2022-02-07,sh.601360,10.4900,10.6500,10.3000,10.5800,10.4400,51546086,541898352.5200,3,0.721400,1,1.341000,34.216875,2.121915,6.206794,28.320572,0
2022-02-08,sh.601360,10.5100,10.7600,10.4800,10.7500,10.5800,38370618,408533924.2500,3,0.537000,1,1.606800,34.766674,2.156010,6.306525,28.775628,0
2022-02-09,sh.601360,10.7700,10.9400,10.7500,10.8300,10.7500,43483241,471935684.4100,3,0.608600,1,0.744200,35.025402,2.172055,6.353457,28.989772,0
2022-02-10,sh.601360,10.8400,10.9300,10.7300,10.8600,10.8300,29853331,323703892.2600,3,0.417800,1,0.277000,35.122426,2.178071,6.371057,29.070076,0
2022-02-11,sh.601360,10.8100,10.8800,10.6600,10.7500,10.8600,34910145,375790051.9800,3,0.488600,1,-1.012900,34.766674,2.156010,6.306525,28.775628,0
2022-02-14,sh.601360,10.6600,10.7400,10.5500,10.6100,10.7500,29057434,308771366.3500,3,0.406700,1,-1.302300,34.313898,2.127932,6.224393,28.400876,0
2022-02-15,sh.601360,10.6400,10.7200,10.5700,10.6700,10.6100,23421564,249451410.2800,3,0.327800,1,0.565500,34.507945,2.139965,6.259593,28.561484,0
2022-02-16,sh.601360,10.8900,10.9900,10.7300,10.7700,10.6700,34186707,370385690.7600,3,0.478400,1,0.937200,34.831356,2.160021,6.318258,28.829164,0
2022-02-17,sh.601360,10.7300,10.7600,10.6400,10.6600,10.7700,25529305,272902113.2800,3,0.357300,1,-1.021400,34.475604,2.137960,6.253726,28.534716,0
2022-02-18,sh.601360,10.6300,10.8500,10.6300,10.8000,10.6600,32355264,348737585.0200,3,0.452800,1,1.313300,34.928379,2.166038,6.335858,28.909468,0
2022-02-21,sh.601360,10.7900,11.0400,10.7500,11.0100,10.8000,48476451,530395080.1800,3,0.678400,1,1.944400,35.607542,2.208155,6.459055,29.471597,0
2022-02-22,sh.601360,10.9000,10.9100,10.7300,10.7900,11.0100,37625053,406567263.0800,3,0.526600,1,-1.998200,34.896038,2.164032,6.329991,28.882700,0
2022-02-23,sh.601360,10.7900,10.8600,10.7500,10.8600,10.7900,26196483,283466420.9000,3,0.366600,1,0.648700,35.122426,2.178071,6.371057,29.070076,0
2022-02-24,sh.601360,10.7800,10.8000,10.3200,10.4400,10.8600,62361105,657535120.3900,3,0.872700,1,-3.867400,33.764100,2.093837,6.124662,27.945819,0
2022-02-25,sh.601360,10.5300,10.6100,10.4500,10.4800,10.4400,28699808,302013743.9600,3,0.401700,1,0.383100,33.893464,2.101859,6.148129,28.052891,0
2022-02-28,sh.601360,10.5300,10.5800,10.3800,10.4600,10.4800,42761575,447357024.0000,3,0.598500,1,-0.190800,33.828782,2.097848,6.136395,0.000000,0
2022-03-01,sh.601360,10.5000,10.5200,10.3800,10.4900,10.4600,34084429,355828128.0000,3,0.477000,1,0.286800,33.925805,2.103865,6.153995,28.079659,0
2022-03-02,sh.601360,10.4400,10.9500,10.4000,10.8500,10.4900,74295822,792448768.0000,3,1.039800,1,3.431800,35.090085,2.176066,6.365190,29.043308,0
2022-03-03,sh.601360,10.8000,10.8300,10.7000,10.7100,10.8500,43196523,464237152.0000,3,0.604500,1,-1.290300,34.637309,2.147988,6.283059,28.668556,0
2022-03-04,sh.601360,10.6600,10.8600,10.6400,10.7500,10.7100,39248712,421817920.0000,3,0.549300,1,0.373500,34.766674,2.156010,6.306525,28.775628,0
2022-03-07,sh.601360,10.7400,10.7400,10.4400,10.5300,10.7500,36652812,387194848.0000,3,0.513000,1,-2.046500,34.055170,2.111887,6.177461,28.186731,0
2022-03-08,sh.601360,10.5300,10.8400,10.4100,10.5400,10.5300,47837816,508045344.0000,3,0.669500,1,0.095000,34.087511,2.113893,6.183328,28.213500,0
2022-03-09,sh.601360,10.7300,10.7800,10.0000,10.6300,10.5400,64822728,683692064.0000,3,0.907200,1,0.853900,34.378581,2.131943,6.236127,28.454412,0
2022-03-10,sh.601360,10.7200,10.7800,10.5900,10.6300,10.6300,42566046,454190752.0000,3,0.595700,1,0.000000,34.378581,2.131943,6.236127,28.454412,0
2022-03-11,sh.601360,10.4400,10.5600,10.2600,10.5100,10.6300,45816645,476755872.0000,3,0.641200,1,-1.128900,33.990487,2.107876,6.165728,28.133195,0
2022-03-14,sh.601360,10.3300,10.4400,10.2000,10.2000,10.5100,34970520,361346144.0000,3,0.489400,1,-2.949600,32.987914,2.045702,5.983866,27.303387,0
2022-03-15,sh.601360,10.1100,10.1300,9.5200,9.6100,10.2000,67638184,669650800.0000,3,0.946600,1,-5.784300,31.079789,1.927373,5.637740,25.724073,0
2022-03-16,sh.601360,9.7500,9.8600,9.3800,9.7900,9.6100,54736847,526821584.0000,3,0.766000,1,1.873000,31.661929,1.963473,5.743338,26.205898,0
2022-03-17,sh.601360,9.8600,10.2400,9.8500,10.0500,9.7900,63408442,638313248.0000,3,0.887400,1,2.655800,32.502797,2.015619,5.895868,26.901866,0
2022-03-18,sh.601360,10.0000,10.1800,9.9600,10.1800,10.0500,44692201,451732700.5200,3,0.625500,1,1.293500,32.923231,2.041691,5.972132,27.249851,0
